unsat_SMILE,sat_SMILE,delta_H,nH2,pH2
C1=NC=NC=N1,C1NCNCN1,44.67375767,3,6.94416018
CC#CC(N)=O,CCCC(N)O,95.0089685,3,6.787914608
CC(=O)CC#C,CC(O)CCC,113.4198497,3,6.864606127
CC(=O)CC#N,CC(O)CCN,66.42427483,3,6.787914608
NC(=O)CC#C,NC(O)CCC,98.49213183,3,6.787914608
NC(=O)CC#N,NC(O)CCN,45.52179417,3,6.712917755
O=C(C#C)C#C,OC(CC)CC,134.05803,5,11.44101021
O=C(C#C)C#N,OC(CC)CN,106.8673018,5,11.31319101
O=C(C#N)C#N,OC(CN)CN,84.0391044,5,11.18819626
O=CC(=O)C#C,OCC(O)CC,117.93746,4,8.951673329
O=CC(=O)C#N,OCC(O)CN,84.89948075,4,8.853838737
CC(C#C)C#C,CC(CC)CC,144.3145457,4,9.363189349
CC(C#C)C#N,CC(CC)CN,105.0876066,4,9.256206673
CC(C#N)C#N,CC(CN)CN,68.01489025,4,9.151641122
NC(C#C)C#N,NC(CC)CN,110.4554414,4,9.151641122
NC(C#N)C#N,NC(CN)CN,74.65543613,4,9.049411692
OC(C#C)C#C,OC(CC)CC,151.7053283,4,9.152808169
OC(C#C)C#N,OC(CC)CN,113.7950774,4,9.050552811
OC(C#N)C#N,OC(CN)CN,80.64091975,4,8.950557007
CC(C=O)C#C,CC(CO)CC,118.3076555,3,6.864606127
CC(C=O)C#N,CC(CO)CN,65.91492783,3,6.787914608
OC(C=O)C#C,OC(CO)CC,124.8967853,3,6.713754997
OC(C=O)C#N,OC(CO)CN,74.08023283,3,6.640379052
CN=C(N)C#N,CNC(N)CN,64.38076067,3,6.787058769
CCC(=O)C#N,CCC(O)CN,68.7119605,3,6.787914608
CNC(=N)C#N,CNC(N)CN,61.6283615,3,6.787058769
CNC(=O)C#C,CNC(O)CC,100.435877,3,6.787914608
COC(=O)C#C,COC(O)CC,104.0721945,3,6.713754997
COC(=O)C#N,COC(O)CN,58.91446967,3,6.640379052
OCC(=O)C#C,OCC(O)CC,126.4397042,3,6.713754997
OCC(=O)C#N,OCC(O)CN,79.27609733,3,6.640379052
C#CC#CC#N,CCCCCN,114.0525952,6,13.88431001
N#CC#CC#N,NCCCCN,93.28576533,6,13.72746168
C#CCCC#N,CCCCCN,100.1378828,4,9.256206673
N#CCCC#N,NCCCCN,60.86827925,4,9.151641122
O=CC#CC#C,OCCCCC,126.4372537,5,11.44101021
O=CC#CC#N,OCCCCN,99.8981746,5,11.31319101
N=COCC#C,NCOCCC,123.9376027,3,6.787914608
N=COCC#N,NCOCCN,66.330632,3,6.712917755
O=CCCC#C,OCCCCC,116.6544657,3,6.864606127
O=CCCC#N,OCCCCN,63.37344383,3,6.787914608
O=CNCC#C,OCNCCC,97.61609,3,6.787914608
O=CNCC#N,OCNCCN,43.49490817,3,6.712917755
O=COCC#C,OCOCCC,106.7799602,3,6.713754997
O=COCC#N,OCOCCN,55.17925833,3,6.640379052
CC#CCC#N,CCCCCN,99.165135,4,9.256206673
CCC#CC#N,CCCCCN,98.20814025,4,9.256206673
OCC#CC#C,OCCCCC,140.2364879,4,9.152808169
OCC#CC#N,OCCCCN,104.33737,4,9.050552811
C1=CN=NC=C1,C1CNNCC1,58.574905,3,7.024443813
C1=CN=NN=C1,C1CNNNC1,58.30535367,3,6.94416018
C1=NN=CN=N1,C1NNCNN1,61.49008517,3,6.865690962
C1=NN=NC=N1,C1NNNCN1,49.485424,3,6.865690962
C1=NN=NN=C1,C1NNNNC1,59.45007167,3,6.865690962
CC#CC(C)=NO,CCCC(C)NO,100.2118343,3,5.865147395
CC(CC#C)=NO,CC(CCC)NO,108.716704,3,5.865147395
CC(CC#N)=NO,CC(CCN)NO,54.7758065,3,5.809070888
ON=C(C#C)C#C,ONC(CC)CC,124.6603153,5,9.775245658
CCC(=NO)C#C,CCC(NO)CC,112.087846,3,5.865147395
OCC(=NO)C#C,OCC(NO)CC,116.8154963,3,5.754671651
O=C1C=CNC=C1,OC1CCNCC1,51.5884495,3,5.982100397
O=C1C=CNC=N1,OC1CCNCN1,40.55959917,3,5.923776344
O=C1C=COC=N1,OC1CCOCN1,65.88254667,3,5.867218028
O=C1N=COC=N1,OC1NCOCN1,57.10024917,3,5.81110211
N=C1OC=CC=C1,NC1OCCCC1,81.3721215,3,5.982100397
N=C1OC=CC=N1,NC1OCCCN1,84.887666,3,5.923776344
N=C1OC=CN=C1,NC1OCCNC1,77.60802967,3,5.923776344
N=C1OC=NC=C1,NC1OCNCC1,74.0679805,3,5.923776344
N=C1OC=NC=N1,NC1OCNCN1,54.78980917,3,5.866578601
O=C1NC=CC=C1,OC1NCCCC1,49.51780517,3,5.982100397
O=C1NC=CC=N1,OC1NCCCN1,38.673615,3,5.923776344
O=C1NC=CN=C1,OC1NCCNC1,43.441523,3,5.923776344
O=C1NC=NC=C1,OC1NCNCC1,30.70084667,3,5.923776344
O=C1NC=NC=N1,OC1NCNCN1,29.55875417,3,5.866578601
O=C1OC=CC=C1,OC1OCCCC1,66.0707075,3,5.924428301
O=C1OC=CC=N1,OC1OCCCN1,61.02537167,3,5.867218028
O=C1OC=CN=C1,OC1OCCNC1,64.59167583,3,5.867218028
O=C1OC=NC=C1,OC1OCNCC1,51.95514433,3,5.867218028
O=C1OC=NC=N1,OC1OCNCN1,54.783683,3,5.81110211
CC1=CC=NC=C1,CC1CCNCC1,54.725922,3,6.101571496
CC1=CN=CC=C1,CC1CNCCC1,53.06047983,3,6.101571496
CC1=CN=CC=N1,CC1CNCCN1,41.95111417,3,6.040906363
CC1=CN=CN=C1,CC1CNCNC1,47.3823985,3,6.040906363
CC1=NC=CC=C1,CC1NCCCC1,54.704918,3,6.101571496
CC1=NC=CC=N1,CC1NCCCN1,46.67788933,3,6.040906363
CC1=NC=CN=C1,CC1NCCNC1,42.39307333,3,6.040906363
CC1=NC=NC=C1,CC1NCNCC1,44.77440183,3,6.040906363
NC1=CC=CC=C1,NC1CCCCC1,49.66308283,3,6.101571496
NC1=CN=CC=C1,NC1CNCCC1,43.52203833,3,6.040906363
NC1=CN=CC=N1,NC1CNCCN1,44.1477825,3,5.981435685
NC1=CN=CN=C1,NC1CNCNC1,35.46350367,3,5.981435685
NC1=NC=CC=C1,NC1NCCCC1,38.71474783,3,6.040906363
NC1=NC=CC=N1,NC1NCCCN1,29.64277017,3,5.981435685
NC1=NC=CN=C1,NC1NCCNC1,38.40143817,3,5.981435685
NC1=NC=NC=C1,NC1NCNCC1,38.32792417,3,5.981435685
NC1=NC=NC=N1,NC1NCNCN1,17.47970383,3,5.92312453
OC1=CC=NC=C1,OC1CCNCC1,46.82141667,3,5.982100397
OC1=CN=CC=C1,OC1CNCCC1,48.2015545,3,5.982100397
OC1=CN=CC=N1,OC1CNCCN1,45.090337,3,5.923776344
OC1=CN=CN=C1,OC1CNCNC1,51.09223,3,5.923776344
OC1=NC=CC=C1,OC1NCCCC1,47.8339845,3,5.982100397
OC1=NC=CC=N1,OC1NCCCN1,34.04835917,3,5.923776344
OC1=NC=CN=C1,OC1NCCNC1,40.3933175,3,5.923776344
OC1=NC=NC=C1,OC1NCNCC1,30.9940275,3,5.923776344
OC1=NC=NC=N1,OC1NCNCN1,27.21943367,3,5.866578601
C#CC1=CC=CN1,CCC1CCCN1,94.6361475,4,8.135428661
C#CC1=CN=CN1,CCC1CNCN1,85.76852125,4,8.054541817
C#CC1=CN=CO1,CCC1CNCO1,97.185508,4,7.976133862
C#CC1=NC=CN1,CCC1NCCN1,87.78162337,4,8.054541817
C#CC1=NC=CO1,CCC1NCCO1,99.23471075,4,7.976133862
N#CC1=CC=CN1,NCC1CCCN1,57.32976162,4,8.054541817
N#CC1=CC=CO1,NCC1CCCO1,68.56296338,4,7.976133862
N#CC1=CN=CN1,NCC1CNCN1,47.46904,4,7.97524758
N#CC1=CN=CO1,NCC1CNCO1,61.14133125,4,7.898368459
N#CC1=NC=CN1,NCC1NCCN1,50.33739875,4,7.97524758
N#CC1=NC=CO1,NCC1NCCO1,62.25651238,4,7.898368459
C#CC1=CNC=C1,CCC1CNCC1,92.20362175,4,8.135428661
C#CC1=CNC=N1,CCC1CNCN1,86.47543713,4,8.054541817
C#CC1=COC=C1,CCC1COCC1,103.6980607,4,8.055445811
C#CC1=COC=N1,CCC1COCN1,94.95055112,4,7.976133862
N#CC1=CNC=C1,NCC1CNCC1,52.61042537,4,8.054541817
N#CC1=CNC=N1,NCC1CNCN1,46.64135112,4,7.97524758
N#CC1=COC=C1,NCC1COCC1,64.45471225,4,7.976133862
N#CC1=COC=N1,NCC1COCN1,58.66876663,4,7.898368459
O=CC1=CC=CN1,OCC1CCCN1,56.25571333,3,5.982100397
O=CC1=CN=CN1,OCC1CNCN1,40.43882617,3,5.923776344
O=CC1=CN=CO1,OCC1CNCO1,57.36017367,3,5.867218028
O=CC1=NC=CN1,OCC1NCCN1,45.7755925,3,5.923776344
O=CC1=NC=CO1,OCC1NCCO1,61.33168,3,5.867218028
O=CC1=CNC=C1,OCC1CNCC1,50.05428233,3,5.982100397
O=CC1=CNC=N1,OCC1CNCN1,41.28161167,3,5.923776344
O=CC1=COC=C1,OCC1COCC1,65.33644267,3,5.924428301
O=CC1=COC=N1,OCC1COCN1,55.261524,3,5.867218028
O=CN1C=CC=C1,OCN1CCCC1,47.4559125,3,5.982100397
O=CN1C=CN=C1,OCN1CCNC1,34.74411667,3,5.923776344
CC(C)(C#C)C#C,CC(C)(CC)CC,143.9345046,4,8.052518462
CC(C)(C#C)C#N,CC(C)(CC)CN,104.4778343,4,7.973263863
CC(C)(C#N)C#N,CC(C)(CN)CN,67.87376963,4,7.89555414
CC(N)(C#C)C#N,CC(N)(CC)CN,108.8315696,4,7.89555414
CC(N)(C#N)C#N,CC(N)(CN)CN,73.440486,4,7.819344559
CC(O)(C#C)C#C,CC(O)(CC)CC,147.1244871,4,7.896422797
CC(O)(C#C)C#N,CC(O)(CC)CN,112.6510158,4,7.820196527
CC(O)(C#N)C#N,CC(O)(CN)CN,75.12408788,4,7.745427851
CC(C)(C=O)C#C,CC(C)(CO)CC,117.9077043,3,5.922317097
CC(C)(C=O)C#N,CC(C)(CO)CN,69.985328,3,5.865147395
CC(O)(C=O)C#C,CC(O)(CO)CC,122.3719295,3,5.80969784
CC(O)(C=O)C#N,CC(O)(CO)CN,73.8421875,3,5.754671651
CC#CCC(N)=O,CCCCC(N)O,92.23731567,3,5.865147395
CC(=O)C#CC#C,CC(O)CCCC,123.6673512,5,9.870528496
CC(=O)C#CC#N,CC(O)CCCN,95.2116571,5,9.775245658
NC(=O)C#CC#C,NC(O)CCCC,114.088477,5,9.775245658
NC(=O)C#CC#N,NC(O)CCCN,87.1965307,5,9.681784814
NC(=O)C#CC=O,NC(O)CCCO,94.6834065,4,7.672895534
CC(=N)OCC#C,CC(N)OCCC,111.4454737,3,5.865147395
CC(=N)OCC#N,CC(N)OCCN,65.85191583,3,5.809070888
CC(=O)CCC#C,CC(O)CCCC,110.8941187,3,5.922317097
CC(=O)CCC#N,CC(O)CCCN,53.84725467,3,5.865147395
CC(=O)NCC#C,CC(O)NCCC,96.78205617,3,5.865147395
CC(=O)NCC#N,CC(O)NCCN,45.43252717,3,5.809070888
CC(=O)OCC#C,CC(O)OCCC,96.607898,3,5.80969784
CC(=O)OCC#N,CC(O)OCCN,48.31620133,3,5.754671651
NC(=O)CCC#C,NC(O)CCCC,94.01040333,3,5.865147395
NC(=O)NCC#C,NC(O)NCCC,90.19467667,3,5.809070888
NC(=O)NCC#N,NC(O)NCCN,31.8131835,3,5.754056518
NC(=O)OCC#C,NC(O)OCCC,91.010332,3,5.754671651
NC(=O)OCC#N,NC(O)OCCN,36.59947,3,5.700678036
CC(C)C#CC#C,CC(C)CCCC,135.1883078,4,8.052518462
CC(C)C#CC#N,CC(C)CCCN,98.80084688,4,7.973263863
CC(O)C#CC#C,CC(O)CCCC,139.5932404,4,7.896422797
CC(O)C#CC#N,CC(O)CCCN,102.1660815,4,7.820196527
CCC#CC(N)=O,CCCCC(N)O,93.90188267,3,5.865147395
NC(=O)C#CCO,NC(O)CCCO,102.1818345,3,5.754671651
O=C(CC#C)C#C,OC(CCC)CC,129.1877275,5,9.870528496
O=C(CC#C)C#N,OC(CCC)CN,102.0169531,5,9.775245658
O=C(CC#N)C#C,OC(CCN)CC,98.277716,5,9.775245658
O=C(CC#N)C#N,OC(CCN)CN,70.510428,5,9.681784814
O=CC(=O)CC#C,OCC(O)CCC,107.1118671,4,7.746263787
O=CC(=O)CC#N,OCC(O)CCN,74.45852363,4,7.672895534
N=C(NC=O)C#C,NC(NCO)CC,97.58064575,4,7.745427851
N=C(OC=O)C#C,NC(OCO)CC,100.6275385,4,7.672895534
N=C(OC=O)C#N,NC(OCO)CN,71.36765375,4,7.600904048
N=CNC(=N)C#N,NCNC(N)CN,60.33399,4,7.744592095
N=CNC(=O)C#C,NCNC(O)CC,97.290528,4,7.745427851
N=COC(=O)C#C,NCOC(O)CC,102.4922999,4,7.672895534
N=COC(=O)C#N,NCOC(O)CN,74.4565545,4,7.600904048
O=CNC(=O)C#C,OCNC(O)CC,90.69724113,4,7.672895534
N=C(NC=O)C=O,NC(NCO)CO,61.7228795,3,5.700678036
N=C(OC=O)C=O,NC(OCO)CO,58.69217733,3,5.648280799
N=CNC(=O)C=O,NCNC(O)CO,62.045816,3,5.700678036
N=COC(=O)C=O,NCOC(O)CO,61.83927667,3,5.648280799
O=CNC(=O)C=O,OCNC(O)CO,58.910969,3,5.648280799
CC#CC(=O)C#N,CCCC(O)CN,100.3597375,5,9.775245658
CC#CC(C)C#N,CCCC(C)CN,99.88517837,4,7.973263863
CC#CC(N)C#N,CCCC(N)CN,104.0859784,4,7.89555414
CC#CC(O)C#N,CCCC(O)CN,107.4590895,4,7.820196527
CC(CC#C)C#C,CC(CCC)CC,140.6237491,4,8.052518462
CC(CC#C)C#N,CC(CCC)CN,100.2081149,4,7.973263863
CC(CC#N)C#C,CC(CCN)CC,99.249151,4,7.973263863
CC(CC#N)C#N,CC(CCN)CN,60.46132675,4,7.89555414
NC(CC#C)C#N,NC(CCC)CN,104.5874489,4,7.89555414
NC(CC#N)C#C,NC(CCN)CC,103.0994468,4,7.89555414
NC(CC#N)C#N,NC(CCN)CN,63.11570725,4,7.819344559
OC(CC#C)C#C,OC(CCC)CC,144.9577932,4,7.896422797
OC(CC#C)C#N,OC(CCC)CN,107.4019849,4,7.820196527
OC(CC#N)C#C,OC(CCN)CC,105.098765,4,7.820196527
OC(CC#N)C#N,OC(CCN)CN,66.61549875,4,7.745427851
CC(CC#C)C=O,CC(CCC)CO,111.8909335,3,5.922317097
CC(CC#N)C=O,CC(CCN)CO,59.20852567,3,5.865147395
CN(CC#C)C=O,CN(CCC)CO,95.60320667,3,5.865147395
CN(CC#N)C=O,CN(CCN)CO,44.502225,3,5.809070888
OC(CC#C)C=O,OC(CCC)CO,109.4430923,3,5.80969784
OC(CC#N)C=O,OC(CCN)CO,63.84603383,3,5.754671651
CC(CC=O)C#C,CC(CCO)CC,115.7652963,3,5.922317097
CC(CC=O)C#N,CC(CCO)CN,61.49533617,3,5.865147395
CC(NC=O)C#C,CC(NCO)CC,96.077547,3,5.865147395
CC(NC=O)C#N,CC(NCO)CN,46.41708967,3,5.809070888
CC(OC=N)C#C,CC(OCN)CC,117.800934,3,5.865147395
CC(OC=N)C#N,CC(OCN)CN,64.823595,3,5.809070888
CC(OC=O)C#C,CC(OCO)CC,104.8598445,3,5.80969784
CC(OC=O)C#N,CC(OCO)CN,56.26358983,3,5.754671651
OC(CC=O)C#C,OC(CCO)CC,124.4653282,3,5.80969784
OC(CC=O)C#N,OC(CCO)CN,70.93663417,3,5.754671651
COC(=O)C#CC,COC(O)CCC,93.525561,3,5.80969784
CCC(=O)CC#C,CCC(O)CCC,113.2859492,3,5.922317097
CCC(=O)CC#N,CCC(O)CCN,55.356042,3,5.865147395
CNC(=O)CC#C,CNC(O)CCC,84.56297917,3,5.865147395
CNC(=O)CC#N,CNC(O)CCN,33.50050483,3,5.809070888
COC(=O)CC#C,COC(O)CCC,95.32315333,3,5.80969784
COC(=O)CC#N,COC(O)CCN,43.58417517,3,5.754671651
OCC(=O)CC#C,OCC(O)CCC,119.8812052,3,5.80969784
OCC(=O)CC#N,OCC(O)CCN,67.37033,3,5.754671651
CCN=C(N)C#N,CCNC(N)CN,67.4412185,3,5.864508419
CCCC(=O)C#N,CCCC(O)CN,69.87943283,3,5.865147395
CCNC(=N)C#N,CCNC(N)CN,63.38657133,3,5.864508419
CCNC(=O)C#C,CCNC(O)CC,98.91133667,3,5.865147395
CCOC(=N)C#C,CCOC(N)CC,116.6745945,3,5.865147395
CCOC(=N)C#N,CCOC(N)CN,69.88205833,3,5.809070888
CCOC(=O)C#C,CCOC(O)CC,100.7273075,3,5.80969784
CCOC(=O)C#N,CCOC(O)CN,59.688117,3,5.754671651
COCC(=O)C#C,COCC(O)CC,123.7223117,3,5.80969784
COCC(=O)C#N,COCC(O)CN,79.93159717,3,5.754671651
OCCC(=O)C#C,OCCC(O)CC,117.8000588,3,5.80969784
OCCC(=O)C#N,OCCC(O)CN,69.43572333,3,5.754671651
CC(=O)C(=O)C#C,CC(O)C(O)CC,109.3409166,4,7.746263787
CC(=O)C(=O)C#N,CC(O)C(O)CN,73.77655,4,7.672895534
NC(=O)C(=O)C#C,NC(O)C(O)CC,93.04968912,4,7.672895534
NC(=O)C(=O)C=O,NC(O)C(O)CO,58.5827815,3,5.648280799
CC(=O)C(O)C#C,CC(O)C(O)CC,117.4692458,3,5.80969784
CC(=O)C(O)C#N,CC(O)C(O)CN,64.38426133,3,5.754671651
CC(C#C)C(C)=O,CC(CC)C(C)O,111.9128127,3,5.922317097
CC(C#C)C(N)=O,CC(CC)C(N)O,94.2265695,3,5.865147395
CC(C#N)C(C)=O,CC(CN)C(C)O,57.834514,3,5.865147395
CC(C#N)C(N)=O,CC(CN)C(N)O,40.10538767,3,5.809070888
NC(=O)C(O)C#C,NC(O)C(O)CC,97.736863,3,5.754671651
NC(=O)C(O)C#N,NC(O)C(O)CN,50.0026475,3,5.700678036
NC(C#C)C(N)=O,NC(CC)C(N)O,96.943962,3,5.809070888
NC(C#N)C(N)=O,NC(CN)C(N)O,46.985948,3,5.754056518
CC(C)C(=O)C#C,CC(C)C(O)CC,117.3782285,3,5.922317097
CC(C)C(=O)C#N,CC(C)C(O)CN,68.5754345,3,5.865147395
CC(O)C(=O)C#C,CC(O)C(O)CC,118.4713117,3,5.80969784
CC(O)C(=O)C#N,CC(O)C(O)CN,70.52268033,3,5.754671651
CN(C)C(=N)C#N,CN(C)C(N)CN,58.21608667,3,5.864508419
CN(C)C(=O)C#C,CN(C)C(O)CC,99.84076367,3,5.865147395
CN(C)C(=O)C#N,CN(C)C(O)CN,51.97002217,3,5.809070888
N=C1NC(=O)C=C1,NC1NC(O)CC1,54.21569983,3,5.923776344
N=C1OC(=O)C=C1,NC1OC(O)CC1,62.78795733,3,5.867218028
O=C1CC(=O)C=C1,OC1CC(O)CC1,65.26292867,3,5.924428301
O=C1NC(=O)C=C1,OC1NC(O)CC1,44.3735755,3,5.867218028
N=C1CC(O1)C#C,NC1CC(O1)CC,115.0879173,3,5.982100397
N=C1CC(O1)C#N,NC1CC(O1)CN,69.43572333,3,5.923776344
O=C1CC(C1)C#C,OC1CC(C1)CC,111.5828748,3,6.041584359
O=C1CC(C1)C#N,OC1CC(C1)CN,57.5168285,3,5.982100397
O=C1CC(N1)C#C,OC1CC(N1)CC,95.652216,3,5.982100397
O=C1CC(O1)C#C,OC1CC(O1)CC,101.3775563,3,5.924428301
O=C1CC(O1)C#N,OC1CC(O1)CN,49.46617033,3,5.867218028
N=C1NC=CC1=O,NC1NCCC1O,74.02684767,3,5.923776344
O=C1NC=CC1=O,OC1NCCC1O,62.14908567,3,5.867218028
C#CC(C#C)C#N,CCC(CC)CN,121.8205745,6,11.95989579
O=CC(C#C)C#C,OCC(CC)CC,131.4493332,5,9.870528496
O=CC(C#C)C#N,OCC(CC)CN,101.2875892,5,9.775245658
O=CC(C#N)C#N,OCC(CN)CN,75.8239149,5,9.681784814
O=CC(C=O)C#C,OCC(CO)CC,108.6773215,4,7.746263787
N=CN(C=N)C=N,NCN(CN)CN,56.44212383,3,5.808444072
N=CN(C=N)C=O,NCN(CN)CO,55.42255467,3,5.754056518
N=CN(C=O)C=O,NCN(CO)CO,44.76302467,3,5.700678036
O=CN(C=O)C=O,OCN(CO)CO,34.53757733,3,5.648280799
CNC(=NC)C#N,CNC(NC)CN,60.46351467,3,5.864508419
CCC(C#C)C#N,CCC(CC)CN,101.9442268,4,7.973263863
CCC(C#N)C#N,CCC(CN)CN,65.85344738,4,7.89555414
CNC(C#C)C#N,CNC(CC)CN,107.524727,4,7.89555414
CNC(C#N)C#N,CNC(CN)CN,72.8392465,4,7.819344559
COC(C#C)C#C,COC(CC)CC,151.3869864,4,7.896422797
COC(C#C)C#N,COC(CC)CN,112.9142221,4,7.820196527
COC(C#N)C#N,COC(CN)CN,75.53104038,4,7.745427851
OCC(C#C)C#C,OCC(CC)CC,143.4980152,4,7.896422797
OCC(C#C)C#N,OCC(CC)CN,104.1936239,4,7.820196527
CCC(C=O)C#C,CCC(CO)CC,114.3238968,3,5.922317097
CCC(C=O)C#N,CCC(CO)CN,61.82877467,3,5.865147395
CNC(C=O)C#C,CNC(CO)CC,121.3646127,3,5.865147395
CNC(C=O)C#N,CNC(CO)CN,68.7434665,3,5.809070888
COC(C=O)C#C,COC(CO)CC,124.275417,3,5.80969784
COC(C=O)C#N,COC(CO)CN,74.3410325,3,5.754671651
OCC(C=O)C#C,OCC(CO)CC,117.1646878,3,5.80969784
OCC(C=O)C#N,OCC(CO)CN,69.57487483,3,5.754671651
C#CC1(CC1)C#C,CCC1(CC1)CC,143.4441925,4,8.217956579
C#CC1(CC1)C#N,CCC1(CC1)CN,103.964549,4,8.135428661
C#CC1(CN1)C#C,CCC1(CN1)CC,147.7165374,4,8.135428661
C#CC1(CN1)C#N,CCC1(CN1)CN,107.4873136,4,8.054541817
C#CC1(CO1)C#C,CCC1(CO1)CC,151.617374,4,8.055445811
C#CC1(CO1)C#N,CCC1(CO1)CN,114.5512214,4,7.976133862
N#CC1(CC1)C#N,NCC1(CC1)CN,66.96206475,4,8.054541817
N#CC1(CN1)C#N,NCC1(CN1)CN,72.4506725,4,7.97524758
N#CC1(CO1)C#N,NCC1(CO1)CN,78.24186913,4,7.898368459
O=CC1(CC1)C#C,OCC1(CC1)CC,113.6132615,3,6.041584359
O=CC1(CC1)C#N,OCC1(CC1)CN,66.35776217,3,5.982100397
O=CC1(CN1)C#C,OCC1(CN1)CC,117.9558385,3,5.982100397
O=CC1(CN1)C#N,OCC1(CN1)CN,66.76033883,3,5.923776344
O=CC1(CO1)C#C,OCC1(CO1)CC,127.1328362,3,5.924428301
O=CC1(CO1)C#N,OCC1(CO1)CN,78.2005175,3,5.867218028
C#CC#CCC#N,CCCCCCN,113.9116933,6,11.95989579
C#CCC#CC#N,CCCCCCN,116.0295967,6,11.95989579
N#CCC#CC#N,NCCCCCN,90.606005,6,11.84333121
C#CCCCC#N,CCCCCCN,99.60490625,4,7.973263863
C#CCNCC#N,CCCNCCN,105.2169125,4,7.89555414
C#CCOCC#N,CCCOCCN,112.1285413,4,7.820196527
N#CCCCC#N,NCCCCCN,59.31726513,4,7.89555414
N#CCNCC#N,NCCNCCN,65.6768825,4,7.819344559
N#CCOCC#N,NCCOCCN,69.31385637,4,7.745427851
O=CC#CCC#C,OCCCCCC,129.4523779,5,9.870528496
O=CC#CCC#N,OCCCCCN,98.0839541,5,9.775245658
O=CCC#CC#C,OCCCCCC,123.6248181,5,9.870528496
O=CCC#CC#N,OCCCCCN,94.9554083,5,9.775245658
O=CCCCC#C,OCCCCCC,116.5862027,3,5.922317097
O=CCCCC#N,OCCCCCN,61.96880133,3,5.865147395
O=CCNCC#C,OCCNCCC,121.9247193,3,5.865147395
O=CCNCC#N,OCCNCCN,65.264679,3,5.809070888
O=CCOCC#C,OCCOCCC,124.0951327,3,5.80969784
O=CCOCC#N,OCCOCCN,73.036159,3,5.754671651
O=CNCCC#C,OCNCCCC,92.228564,3,5.865147395
O=CNCCC#N,OCNCCCN,34.07286383,3,5.809070888
O=COCCC#C,OCOCCCC,101.7249975,3,5.80969784
O=COCCC#N,OCOCCCN,48.98482867,3,5.754671651
CC#CC#CC#N,CCCCCCN,109.4881634,6,11.95989579
CC#CCNC=O,CCCCNCO,87.83522733,3,5.865147395
CC#CCOC=N,CCCCOCN,112.8886235,3,5.865147395
CC#CCOC=O,CCCCOCO,96.58339333,3,5.80969784
CN=COCC#C,CNCOCCC,120.5804633,3,5.865147395
CN=COCC#N,CNCOCCN,69.32982817,3,5.809070888
CCC#CCC#N,CCCCCCN,99.67907662,4,7.973263863
OCC#CCC#C,OCCCCCC,145.2275634,4,7.896422797
OCC#CCC#N,OCCCCCN,104.6780286,4,7.820196527
COC=NCC#C,COCNCCC,116.6912227,3,5.865147395
COC=NCC#N,COCNCCN,59.85527383,3,5.809070888
CCCC#CC#N,CCCCCCN,97.91342788,4,7.973263863
COCC#CC#C,COCCCCC,138.8325018,4,7.896422797
COCC#CC#N,COCCCCN,102.788325,4,7.820196527
OCCC#CC#C,OCCCCCC,136.1249549,4,7.896422797
