,Unnamed: 0,unsat_SMILE,sat_SMILE,delta_H,nH2,pH2,heavy_atom_count,molar_mass,nOxygen,nNitrogen,nAromaticRings,nHBD
69,69,OCC(=O)C#N,OCC(O)CN,79.27609733,3,6.640379052,6,85.06200000000001,2,1,0,1
70,70,C#CC#CC#N,CCCCCN,114.0525952,6,13.88431001,6,75.07,0,1,0,0
71,71,N#CC#CC#N,NCCCCN,93.28576533,6,13.72746168,6,76.05799999999999,0,2,0,0
72,72,C#CCCC#N,CCCCCN,100.1378828,4,9.256206673,6,79.102,0,1,0,0
73,73,N#CCCC#N,NCCCCN,60.86827925,4,9.151641122,6,80.09,0,2,0,0
74,74,O=CC#CC#C,OCCCCC,126.4372537,5,11.44101021,6,78.06999999999998,1,0,0,0
75,75,O=CC#CC#N,OCCCCN,99.8981746,5,11.31319101,6,79.05799999999999,1,1,0,0
76,76,N=COCC#C,NCOCCC,123.9376027,3,6.787914608,6,83.08999999999999,1,1,0,1
77,77,N=COCC#N,NCOCCN,66.330632,3,6.712917755,6,84.078,1,2,0,1
78,78,O=CCCC#C,OCCCCC,116.6544657,3,6.864606127,6,82.10199999999999,1,0,0,0
79,79,O=CCCC#N,OCCCCN,63.37344383,3,6.787914608,6,83.09,1,1,0,0
80,80,O=CNCC#C,OCNCCC,97.61609,3,6.787914608,6,83.08999999999999,1,1,0,1
81,81,O=CNCC#N,OCNCCN,43.49490817,3,6.712917755,6,84.078,1,2,0,1
82,82,O=COCC#C,OCOCCC,106.7799602,3,6.713754997,6,84.07399999999998,2,0,0,0
83,83,O=COCC#N,OCOCCN,55.17925833,3,6.640379052,6,85.062,2,1,0,0
84,84,CC#CCC#N,CCCCCN,99.165135,4,9.256206673,6,79.102,0,1,0,0
85,85,CCC#CC#N,CCCCCN,98.20814025,4,9.256206673,6,79.10199999999999,0,1,0,0
86,86,OCC#CC#C,OCCCCC,140.2364879,4,9.152808169,6,80.08599999999998,1,0,0,1
87,87,OCC#CC#N,OCCCCN,104.33737,4,9.050552811,6,81.074,1,1,0,1
88,88,C1=CN=NC=C1,C1CNNCC1,58.574905,3,7.024443813,6,80.08999999999997,0,2,1,0
89,89,C1=CN=NN=C1,C1CNNNC1,58.30535367,3,6.94416018,6,81.07799999999999,0,3,1,0
90,90,C1=NN=CN=N1,C1NNCNN1,61.49008517,3,6.865690962,6,82.066,0,4,1,0
91,91,C1=NN=NC=N1,C1NNNCN1,49.485424,3,6.865690962,6,82.06599999999999,0,4,1,0
92,92,C1=NN=NN=C1,C1NNNNC1,59.45007167,3,6.865690962,6,82.06599999999999,0,4,1,0
93,93,CC#CC(C)=NO,CCCC(C)NO,100.2118343,3,5.865147395,7,97.11699999999999,1,1,0,1
94,94,CC(CC#C)=NO,CC(CCC)NO,108.716704,3,5.865147395,7,97.11699999999999,1,1,0,1
95,95,CC(CC#N)=NO,CC(CCN)NO,54.7758065,3,5.809070888,7,98.105,1,2,0,1
96,96,ON=C(C#C)C#C,ONC(CC)CC,124.6603153,5,9.775245658,7,93.08499999999998,1,1,0,1
97,97,CCC(=NO)C#C,CCC(NO)CC,112.087846,3,5.865147395,7,97.11699999999998,1,1,0,1
98,98,OCC(=NO)C#C,OCC(NO)CC,116.8154963,3,5.754671651,7,99.08899999999998,2,1,0,2
99,99,O=C1C=CNC=C1,OC1CCNCC1,51.5884495,3,5.982100397,7,95.10099999999998,1,1,1,1
100,100,O=C1C=CNC=N1,OC1CCNCN1,40.55959917,3,5.923776344,7,96.089,1,2,1,1
101,101,O=C1C=COC=N1,OC1CCOCN1,65.88254667,3,5.867218028,7,97.07300000000001,2,1,1,0
102,102,O=C1N=COC=N1,OC1NCOCN1,57.10024917,3,5.81110211,7,98.06099999999999,2,2,1,0
103,103,N=C1OC=CC=C1,NC1OCCCC1,81.3721215,3,5.982100397,7,95.10099999999998,1,1,1,1
104,104,N=C1OC=CC=N1,NC1OCCCN1,84.887666,3,5.923776344,7,96.089,1,2,1,1
105,105,N=C1OC=CN=C1,NC1OCCNC1,77.60802967,3,5.923776344,7,96.089,1,2,1,1
106,106,N=C1OC=NC=C1,NC1OCNCC1,74.0679805,3,5.923776344,7,96.08899999999998,1,2,1,1
107,107,N=C1OC=NC=N1,NC1OCNCN1,54.78980917,3,5.866578601,7,97.077,1,3,1,1
108,108,O=C1NC=CC=C1,OC1NCCCC1,49.51780517,3,5.982100397,7,95.10099999999998,1,1,1,1
109,109,O=C1NC=CC=N1,OC1NCCCN1,38.673615,3,5.923776344,7,96.089,1,2,1,1
110,110,O=C1NC=CN=C1,OC1NCCNC1,43.441523,3,5.923776344,7,96.089,1,2,1,1
111,111,O=C1NC=NC=C1,OC1NCNCC1,30.70084667,3,5.923776344,7,96.08899999999998,1,2,1,1
112,112,O=C1NC=NC=N1,OC1NCNCN1,29.55875417,3,5.866578601,7,97.077,1,3,1,1
113,113,O=C1OC=CC=C1,OC1OCCCC1,66.0707075,3,5.924428301,7,96.08499999999998,2,0,1,0
114,114,O=C1OC=CC=N1,OC1OCCCN1,61.02537167,3,5.867218028,7,97.073,2,1,1,0
115,115,O=C1OC=CN=C1,OC1OCCNC1,64.59167583,3,5.867218028,7,97.073,2,1,1,0
116,116,O=C1OC=NC=C1,OC1OCNCC1,51.95514433,3,5.867218028,7,97.07299999999998,2,1,1,0
117,117,O=C1OC=NC=N1,OC1OCNCN1,54.783683,3,5.81110211,7,98.06099999999999,2,2,1,0
118,118,CC1=CC=NC=C1,CC1CCNCC1,54.725922,3,6.101571496,7,93.12899999999999,0,1,1,0
119,119,CC1=CN=CC=C1,CC1CNCCC1,53.06047983,3,6.101571496,7,93.12899999999998,0,1,1,0
120,120,CC1=CN=CC=N1,CC1CNCCN1,41.95111417,3,6.040906363,7,94.11699999999999,0,2,1,0
121,121,CC1=CN=CN=C1,CC1CNCNC1,47.3823985,3,6.040906363,7,94.11699999999999,0,2,1,0
122,122,CC1=NC=CC=C1,CC1NCCCC1,54.704918,3,6.101571496,7,93.12899999999998,0,1,1,0
123,123,CC1=NC=CC=N1,CC1NCCCN1,46.67788933,3,6.040906363,7,94.11699999999999,0,2,1,0
124,124,CC1=NC=CN=C1,CC1NCCNC1,42.39307333,3,6.040906363,7,94.11699999999999,0,2,1,0
125,125,CC1=NC=NC=C1,CC1NCNCC1,44.77440183,3,6.040906363,7,94.11699999999998,0,2,1,0
126,126,NC1=CC=CC=C1,NC1CCCCC1,49.66308283,3,6.101571496,7,93.12899999999999,0,1,1,1
127,127,NC1=CN=CC=C1,NC1CNCCC1,43.52203833,3,6.040906363,7,94.11699999999998,0,2,1,1
128,128,NC1=CN=CC=N1,NC1CNCCN1,44.1477825,3,5.981435685,7,95.10499999999999,0,3,1,1
129,129,NC1=CN=CN=C1,NC1CNCNC1,35.46350367,3,5.981435685,7,95.10499999999999,0,3,1,1
130,130,NC1=NC=CC=C1,NC1NCCCC1,38.71474783,3,6.040906363,7,94.11699999999998,0,2,1,1
131,131,NC1=NC=CC=N1,NC1NCCCN1,29.64277017,3,5.981435685,7,95.10499999999999,0,3,1,1
132,132,NC1=NC=CN=C1,NC1NCCNC1,38.40143817,3,5.981435685,7,95.10499999999999,0,3,1,1
133,133,NC1=NC=NC=C1,NC1NCNCC1,38.32792417,3,5.981435685,7,95.10499999999998,0,3,1,1
134,134,NC1=NC=NC=N1,NC1NCNCN1,17.47970383,3,5.92312453,7,96.09299999999999,0,4,1,1
135,135,OC1=CC=NC=C1,OC1CCNCC1,46.82141667,3,5.982100397,7,95.10099999999998,1,1,1,1
136,136,OC1=CN=CC=C1,OC1CNCCC1,48.2015545,3,5.982100397,7,95.10099999999997,1,1,1,1
137,137,OC1=CN=CC=N1,OC1CNCCN1,45.090337,3,5.923776344,7,96.08899999999998,1,2,1,1
138,138,OC1=CN=CN=C1,OC1CNCNC1,51.09223,3,5.923776344,7,96.08899999999998,1,2,1,1
139,139,OC1=NC=CC=C1,OC1NCCCC1,47.8339845,3,5.982100397,7,95.10099999999998,1,1,1,1
140,140,OC1=NC=CC=N1,OC1NCCCN1,34.04835917,3,5.923776344,7,96.089,1,2,1,1
141,141,OC1=NC=CN=C1,OC1NCCNC1,40.3933175,3,5.923776344,7,96.089,1,2,1,1
142,142,OC1=NC=NC=C1,OC1NCNCC1,30.9940275,3,5.923776344,7,96.08899999999998,1,2,1,1
143,143,OC1=NC=NC=N1,OC1NCNCN1,27.21943367,3,5.866578601,7,97.077,1,3,1,1
144,144,C#CC1=CC=CN1,CCC1CCCN1,94.6361475,4,8.135428661,7,91.113,0,1,1,1
145,145,C#CC1=CN=CN1,CCC1CNCN1,85.76852125,4,8.054541817,7,92.10099999999998,0,2,1,1
146,146,C#CC1=CN=CO1,CCC1CNCO1,97.185508,4,7.976133862,7,93.08499999999998,1,1,1,0
147,147,C#CC1=NC=CN1,CCC1NCCN1,87.78162337,4,8.054541817,7,92.10099999999998,0,2,1,1
148,148,C#CC1=NC=CO1,CCC1NCCO1,99.23471075,4,7.976133862,7,93.08499999999998,1,1,1,0
149,149,N#CC1=CC=CN1,NCC1CCCN1,57.32976162,4,8.054541817,7,92.10099999999998,0,2,1,1
150,150,N#CC1=CC=CO1,NCC1CCCO1,68.56296338,4,7.976133862,7,93.08499999999998,1,1,1,0
151,151,N#CC1=CN=CN1,NCC1CNCN1,47.46904,4,7.97524758,7,93.08899999999998,0,3,1,1
152,152,N#CC1=CN=CO1,NCC1CNCO1,61.14133125,4,7.898368459,7,94.07299999999998,1,2,1,0
153,153,N#CC1=NC=CN1,NCC1NCCN1,50.33739875,4,7.97524758,7,93.08899999999998,0,3,1,1
154,154,N#CC1=NC=CO1,NCC1NCCO1,62.25651238,4,7.898368459,7,94.07299999999998,1,2,1,0
155,155,C#CC1=CNC=C1,CCC1CNCC1,92.20362175,4,8.135428661,7,91.11299999999997,0,1,1,1
156,156,C#CC1=CNC=N1,CCC1CNCN1,86.47543713,4,8.054541817,7,92.10099999999998,0,2,1,1
157,157,C#CC1=COC=C1,CCC1COCC1,103.6980607,4,8.055445811,7,92.09699999999998,1,0,1,0
158,158,C#CC1=COC=N1,CCC1COCN1,94.95055112,4,7.976133862,7,93.085,1,1,1,0
159,159,N#CC1=CNC=C1,NCC1CNCC1,52.61042537,4,8.054541817,7,92.10099999999997,0,2,1,1
160,160,N#CC1=CNC=N1,NCC1CNCN1,46.64135112,4,7.97524758,7,93.08899999999998,0,3,1,1
161,161,N#CC1=COC=C1,NCC1COCC1,64.45471225,4,7.976133862,7,93.08499999999998,1,1,1,0
162,162,N#CC1=COC=N1,NCC1COCN1,58.66876663,4,7.898368459,7,94.073,1,2,1,0
163,163,O=CC1=CC=CN1,OCC1CCCN1,56.25571333,3,5.982100397,7,95.10099999999998,1,1,1,1
164,164,O=CC1=CN=CN1,OCC1CNCN1,40.43882617,3,5.923776344,7,96.08899999999998,1,2,1,1
165,165,O=CC1=CN=CO1,OCC1CNCO1,57.36017367,3,5.867218028,7,97.07299999999998,2,1,1,0
166,166,O=CC1=NC=CN1,OCC1NCCN1,45.7755925,3,5.923776344,7,96.08899999999998,1,2,1,1
167,167,O=CC1=NC=CO1,OCC1NCCO1,61.33168,3,5.867218028,7,97.07299999999998,2,1,1,0
168,168,O=CC1=CNC=C1,OCC1CNCC1,50.05428233,3,5.982100397,7,95.10099999999997,1,1,1,1
169,169,O=CC1=CNC=N1,OCC1CNCN1,41.28161167,3,5.923776344,7,96.08899999999998,1,2,1,1
170,170,O=CC1=COC=C1,OCC1COCC1,65.33644267,3,5.924428301,7,96.08499999999998,2,0,1,0
171,171,O=CC1=COC=N1,OCC1COCN1,55.261524,3,5.867218028,7,97.073,2,1,1,0
172,172,O=CN1C=CC=C1,OCN1CCCC1,47.4559125,3,5.982100397,7,95.10099999999998,1,1,1,0
173,173,O=CN1C=CN=C1,OCN1CCNC1,34.74411667,3,5.923776344,7,96.089,1,2,1,0
174,174,CC(C)(C#C)C#C,CC(C)(CC)CC,143.9345046,4,8.052518462,7,92.14099999999998,0,0,0,0
175,175,CC(C)(C#C)C#N,CC(C)(CC)CN,104.4778343,4,7.973263863,7,93.12899999999999,0,1,0,0
176,176,CC(C)(C#N)C#N,CC(C)(CN)CN,67.87376963,4,7.89555414,7,94.117,0,2,0,0
177,177,CC(N)(C#C)C#N,CC(N)(CC)CN,108.8315696,4,7.89555414,7,94.11699999999999,0,2,0,1
178,178,CC(N)(C#N)C#N,CC(N)(CN)CN,73.440486,4,7.819344559,7,95.105,0,3,0,1
179,179,CC(O)(C#C)C#C,CC(O)(CC)CC,147.1244871,4,7.896422797,7,94.11299999999999,1,0,0,1
180,180,CC(O)(C#C)C#N,CC(O)(CC)CN,112.6510158,4,7.820196527,7,95.101,1,1,0,1
181,181,CC(O)(C#N)C#N,CC(O)(CN)CN,75.12408788,4,7.745427851,7,96.08900000000001,1,2,0,1
182,182,CC(C)(C=O)C#C,CC(C)(CO)CC,117.9077043,3,5.922317097,7,96.12899999999999,1,0,0,0
183,183,CC(C)(C=O)C#N,CC(C)(CO)CN,69.985328,3,5.865147395,7,97.117,1,1,0,0
184,184,CC(O)(C=O)C#C,CC(O)(CO)CC,122.3719295,3,5.80969784,7,98.101,2,0,0,1
185,185,CC(O)(C=O)C#N,CC(O)(CO)CN,73.8421875,3,5.754671651,7,99.08900000000001,2,1,0,1
186,186,CC#CCC(N)=O,CCCCC(N)O,92.23731567,3,5.865147395,7,97.117,1,1,0,1
187,187,CC(=O)C#CC#C,CC(O)CCCC,123.6673512,5,9.870528496,7,92.09699999999998,1,0,0,0
188,188,CC(=O)C#CC#N,CC(O)CCCN,95.2116571,5,9.775245658,7,93.085,1,1,0,0
189,189,NC(=O)C#CC#C,NC(O)CCCC,114.088477,5,9.775245658,7,93.08499999999998,1,1,0,1
190,190,NC(=O)C#CC#N,NC(O)CCCN,87.1965307,5,9.681784814,7,94.073,1,2,0,1
191,191,NC(=O)C#CC=O,NC(O)CCCO,94.6834065,4,7.672895534,7,97.07299999999998,2,1,0,1
192,192,CC(=N)OCC#C,CC(N)OCCC,111.4454737,3,5.865147395,7,97.11699999999999,1,1,0,1
193,193,CC(=N)OCC#N,CC(N)OCCN,65.85191583,3,5.809070888,7,98.105,1,2,0,1
194,194,CC(=O)CCC#C,CC(O)CCCC,110.8941187,3,5.922317097,7,96.12899999999999,1,0,0,0
195,195,CC(=O)CCC#N,CC(O)CCCN,53.84725467,3,5.865147395,7,97.117,1,1,0,0
196,196,CC(=O)NCC#C,CC(O)NCCC,96.78205617,3,5.865147395,7,97.11699999999999,1,1,0,1
197,197,CC(=O)NCC#N,CC(O)NCCN,45.43252717,3,5.809070888,7,98.105,1,2,0,1
198,198,CC(=O)OCC#C,CC(O)OCCC,96.607898,3,5.80969784,7,98.101,2,0,0,0
199,199,CC(=O)OCC#N,CC(O)OCCN,48.31620133,3,5.754671651,7,99.08900000000001,2,1,0,0
200,200,NC(=O)CCC#C,NC(O)CCCC,94.01040333,3,5.865147395,7,97.11699999999999,1,1,0,1
201,201,NC(=O)NCC#C,NC(O)NCCC,90.19467667,3,5.809070888,7,98.10499999999999,1,2,0,2
202,202,NC(=O)NCC#N,NC(O)NCCN,31.8131835,3,5.754056518,7,99.093,1,3,0,2
203,203,NC(=O)OCC#C,NC(O)OCCC,91.010332,3,5.754671651,7,99.089,2,1,0,1
204,204,NC(=O)OCC#N,NC(O)OCCN,36.59947,3,5.700678036,7,100.07700000000001,2,2,0,1
205,205,CC(C)C#CC#C,CC(C)CCCC,135.1883078,4,8.052518462,7,92.14099999999998,0,0,0,0
206,206,CC(C)C#CC#N,CC(C)CCCN,98.80084688,4,7.973263863,7,93.12899999999999,0,1,0,0
207,207,CC(O)C#CC#C,CC(O)CCCC,139.5932404,4,7.896422797,7,94.11299999999999,1,0,0,1
208,208,CC(O)C#CC#N,CC(O)CCCN,102.1660815,4,7.820196527,7,95.101,1,1,0,1
209,209,CCC#CC(N)=O,CCCCC(N)O,93.90188267,3,5.865147395,7,97.11699999999999,1,1,0,1
210,210,NC(=O)C#CCO,NC(O)CCCO,102.1818345,3,5.754671651,7,99.08899999999998,2,1,0,2
211,211,O=C(CC#C)C#C,OC(CCC)CC,129.1877275,5,9.870528496,7,92.09699999999998,1,0,0,0
212,212,O=C(CC#C)C#N,OC(CCC)CN,102.0169531,5,9.775245658,7,93.085,1,1,0,0
213,213,O=C(CC#N)C#C,OC(CCN)CC,98.277716,5,9.775245658,7,93.085,1,1,0,0
214,214,O=C(CC#N)C#N,OC(CCN)CN,70.510428,5,9.681784814,7,94.07300000000001,1,2,0,0
215,215,O=CC(=O)CC#C,OCC(O)CCC,107.1118671,4,7.746263787,7,96.085,2,0,0,0
216,216,O=CC(=O)CC#N,OCC(O)CCN,74.45852363,4,7.672895534,7,97.07300000000001,2,1,0,0
217,217,N=C(NC=O)C#C,NC(NCO)CC,97.58064575,4,7.745427851,7,96.089,1,2,0,2
218,218,N=C(OC=O)C#C,NC(OCO)CC,100.6275385,4,7.672895534,7,97.073,2,1,0,1
219,219,N=C(OC=O)C#N,NC(OCO)CN,71.36765375,4,7.600904048,7,98.061,2,2,0,1
220,220,N=CNC(=N)C#N,NCNC(N)CN,60.33399,4,7.744592095,7,96.093,0,4,0,3
221,221,N=CNC(=O)C#C,NCNC(O)CC,97.290528,4,7.745427851,7,96.08899999999998,1,2,0,2
222,222,N=COC(=O)C#C,NCOC(O)CC,102.4922999,4,7.672895534,7,97.07299999999998,2,1,0,1
223,223,N=COC(=O)C#N,NCOC(O)CN,74.4565545,4,7.600904048,7,98.06099999999999,2,2,0,1
224,224,O=CNC(=O)C#C,OCNC(O)CC,90.69724113,4,7.672895534,7,97.07299999999998,2,1,0,1
225,225,N=C(NC=O)C=O,NC(NCO)CO,61.7228795,3,5.700678036,7,100.077,2,2,0,2
226,226,N=C(OC=O)C=O,NC(OCO)CO,58.69217733,3,5.648280799,7,101.06099999999999,3,1,0,1
227,227,N=CNC(=O)C=O,NCNC(O)CO,62.045816,3,5.700678036,7,100.07699999999998,2,2,0,2
228,228,N=COC(=O)C=O,NCOC(O)CO,61.83927667,3,5.648280799,7,101.06099999999998,3,1,0,1
229,229,O=CNC(=O)C=O,OCNC(O)CO,58.910969,3,5.648280799,7,101.06099999999998,3,1,0,1
230,230,CC#CC(=O)C#N,CCCC(O)CN,100.3597375,5,9.775245658,7,93.085,1,1,0,0
231,231,CC#CC(C)C#N,CCCC(C)CN,99.88517837,4,7.973263863,7,93.129,0,1,0,0
232,232,CC#CC(N)C#N,CCCC(N)CN,104.0859784,4,7.89555414,7,94.117,0,2,0,1
233,233,CC#CC(O)C#N,CCCC(O)CN,107.4590895,4,7.820196527,7,95.101,1,1,0,1
234,234,CC(CC#C)C#C,CC(CCC)CC,140.6237491,4,8.052518462,7,92.14099999999998,0,0,0,0
235,235,CC(CC#C)C#N,CC(CCC)CN,100.2081149,4,7.973263863,7,93.12899999999999,0,1,0,0
236,236,CC(CC#N)C#C,CC(CCN)CC,99.249151,4,7.973263863,7,93.12899999999999,0,1,0,0
237,237,CC(CC#N)C#N,CC(CCN)CN,60.46132675,4,7.89555414,7,94.117,0,2,0,0
238,238,NC(CC#C)C#N,NC(CCC)CN,104.5874489,4,7.89555414,7,94.11699999999999,0,2,0,1
239,239,NC(CC#N)C#C,NC(CCN)CC,103.0994468,4,7.89555414,7,94.11699999999999,0,2,0,1
240,240,NC(CC#N)C#N,NC(CCN)CN,63.11570725,4,7.819344559,7,95.105,0,3,0,1
241,241,OC(CC#C)C#C,OC(CCC)CC,144.9577932,4,7.896422797,7,94.11299999999997,1,0,0,1
242,242,OC(CC#C)C#N,OC(CCC)CN,107.4019849,4,7.820196527,7,95.10099999999998,1,1,0,1
243,243,OC(CC#N)C#C,OC(CCN)CC,105.098765,4,7.820196527,7,95.10099999999998,1,1,0,1
244,244,OC(CC#N)C#N,OC(CCN)CN,66.61549875,4,7.745427851,7,96.089,1,2,0,1
245,245,CC(CC#C)C=O,CC(CCC)CO,111.8909335,3,5.922317097,7,96.12899999999998,1,0,0,0
246,246,CC(CC#N)C=O,CC(CCN)CO,59.20852567,3,5.865147395,7,97.11699999999999,1,1,0,0
247,247,CN(CC#C)C=O,CN(CCC)CO,95.60320667,3,5.865147395,7,97.11699999999998,1,1,0,0
248,248,CN(CC#N)C=O,CN(CCN)CO,44.502225,3,5.809070888,7,98.10499999999999,1,2,0,0
249,249,OC(CC#C)C=O,OC(CCC)CO,109.4430923,3,5.80969784,7,98.10099999999997,2,0,0,1
